Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,96,Dungeons & Dragons," $33,978,694 "," $15,391,970 ",45.30%," $18,586,724 ",54.70%,USA," $60,312,182 "," $27,320,747 "," $32,991,435 "
2000,97,Red Planet," $33,463,969 "," $17,480,890 ",52.20%," $15,983,079 ",47.80%,USA," $59,398,545 "," $31,028,580 "," $28,369,965 "
2000,98,Wonder Boys," $33,426,588 "," $19,393,557 ",58%," $14,033,031 ",42%,USA," $59,332,194 "," $34,423,564 "," $24,908,630 "
2000,99,Reindeer Games," $32,168,970 "," $23,368,995 ",72.60%," $8,799,975 ",27.40%,USA," $57,099,922 "," $41,479,966 "," $15,619,956 "
2000,100,Lost Souls," $31,355,910 "," $16,815,253 ",53.60%," $14,540,657 ",46.40%,USA," $55,656,740 "," $29,847,074 "," $25,809,666 "
2000,101,Small Time Crooks," $29,934,477 "," $17,266,359 ",57.70%," $12,668,118 ",42.30%,USA," $53,133,697 "," $30,647,787 "," $22,485,909 "
2000,102,Battlefield Earth," $29,725,663 "," $21,471,685 ",72.20%," $8,253,978 ",27.80%,USA," $52,763,052 "," $38,112,241 "," $14,650,811 "
2000,103,Nurse Betty," $29,360,400 "," $25,170,054 ",85.70%," $4,190,346 ",14.30%,USA," $52,114,710 "," $44,676,846 "," $7,437,864 "
2000,104,Boiler Room," $28,780,255 "," $16,970,581 ",59%," $11,809,674 ",41%,USA," $51,084,953 "," $30,122,781 "," $20,962,171 "
2000,105,The Little Vampire," $27,965,865 "," $13,572,400 ",48.50%," $14,393,465 ",51.50%,USA," $49,639,410 "," $24,091,010 "," $25,548,400 "
2000,106,Love & Basketball," $27,728,118 "," $27,459,615 ",99%," $268,503 ",1%,USA," $49,217,409 "," $48,740,817 "," $476,593 "
2000,107,Cirque du Soleil: Journey of Man," $27,538,359 "," $15,627,434 ",56.70%," $11,910,925 ",43.30%,USA," $48,880,587 "," $27,738,695 "," $21,141,892 "
2000,108,Center Stage," $26,385,941 "," $17,200,925 ",65.20%," $9,185,016 ",34.80%,USA," $46,835,045 "," $30,531,642 "," $16,303,403 "
2000,109,Saving Grace," $26,330,482 "," $12,178,602 ",46.30%," $14,151,880 ",53.70%,USA," $46,736,606 "," $21,617,019 "," $25,119,587 "
2000,110,Boys and Girls," $25,850,615 "," $21,799,652 ",84.30%," $4,050,963 ",15.70%,USA," $45,884,842 "," $38,694,382 "," $7,190,459 "
2000,111,Down to You," $24,419,914 "," $20,069,008 ",82.20%," $4,350,906 ",17.80%,USA," $43,345,347 "," $35,622,489 "," $7,722,858 "
2000,112,The Next Best Thing," $24,362,772 "," $14,990,582 ",61.50%," $9,372,190 ",38.50%,USA," $43,243,920 "," $26,608,283 "," $16,635,637 "
2000,113,Dr. T & the Women," $22,844,291 "," $13,113,041 ",57.40%," $9,731,250 ",42.60%,USA," $40,548,617 "," $23,275,648 "," $17,272,969 "
2000,114,The Contender," $22,361,811 "," $17,872,723 ",79.90%," $4,489,088 ",20.10%,USA," $39,692,215 "," $31,724,083 "," $7,968,131 "
2000,115,Michael Jordan to the Max," $21,268,532 "," $18,650,521 ",87.70%," $2,618,011 ",12.30%,USA," $37,751,644 "," $33,104,675 "," $4,646,970 "
2000,116,Best in Show," $20,789,556 "," $18,715,392 ",90%," $2,074,164 ",10%,USA," $36,901,462 "," $33,219,821 "," $3,681,641 "
2000,117,Thomas and the Magic Railroad," $19,748,009 "," $15,933,506 ",80.70%," $3,814,503 ",19.30%,USA," $35,052,716 "," $28,281,973 "," $6,770,743 "
2000,118,Get Carter," $19,412,993 "," $14,967,182 ",77.10%," $4,445,811 ",22.90%,USA," $34,458,063 "," $26,566,748 "," $7,891,315 "
2000,119,The Ninth Gate," $18,661,336 "," $18,661,336 ",100%,,,USA," $33,123,871 "," $33,123,871 ", $-   
2000,120,Loser," $18,404,706 "," $15,618,626 ",84.90%," $2,786,080 ",15.10%,USA," $32,668,353 "," $27,723,061 "," $4,945,292 "
2000,121,All the Pretty Horses," $18,133,495 "," $15,540,353 ",85.70%," $2,593,142 ",14.30%,USA," $32,186,954 "," $27,584,127 "," $4,602,827 "
2000,122,Quills," $17,989,227 "," $7,065,332 ",39.30%," $10,923,895 ",60.70%,USA," $31,930,878 "," $12,540,964 "," $19,389,914 "
2000,123,CyberWorld," $16,653,900 "," $11,253,900 ",67.60%," $5,400,000 ",32.40%,USA," $29,560,673 "," $19,975,673 "," $9,585,000 "
2000,124,Digimon: The Movie," $16,643,191 "," $9,631,153 ",57.90%," $7,012,038 ",42.10%,USA," $29,541,664 "," $17,095,297 "," $12,446,367 "
2000,125,The Dish," $16,575,074 "," $2,552,992 ",15.40%," $14,022,082 ",84.60%,USA," $29,420,756 "," $4,531,561 "," $24,889,196 "
2000,126,Italian for Beginners," $16,349,568 "," $4,544,753 ",27.80%," $11,804,815 ",72.20%,USA," $29,020,483 "," $8,066,937 "," $20,953,547 "
2000,127,Drowning Mona," $15,906,764 "," $15,506,764 ",97.50%," $400,000 ",2.50%,USA," $28,234,506 "," $27,524,506 "," $710,000 "
2000,128,Highlander: Endgame," $15,843,608 "," $12,811,858 ",80.90%," $3,031,750 ",19.10%,USA," $28,122,404 "," $22,741,048 "," $5,381,356 "
2000,129,Bait," $15,471,969 "," $15,325,127 ",99.10%," $146,842 ",0.90%,USA," $27,462,745 "," $27,202,100 "," $260,645 "
